"tile_index","tile_name","n_spots","mean_count","var_count","n_zero","pct_zero","AIC_Poisson","AIC_NegBin","AIC_ZIP","AIC_ZINB","AIC_Hurdle.NB","best_model_AIC"
15795,"tile_15795",4178,0.0150789851603638,0.0292125476148629,4145,99.2101483963619,698.089936014944,487.878478162066,462.072044643249,464.073315098294,464.072189271207,"ZIP"
942,"tile_942",4178,0.030397319291527,0.0596312925921436,4114,98.4681665868837,1230.66036208766,866.952118440399,809.755815051097,811.75619816179,811.756602979159,"ZIP"
716,"tile_716",4178,0.035423647678315,0.0691137626001937,4103,98.2048827190043,1387.95068619406,989.456569475836,923.848618217503,991.456558515494,925.848813282932,"ZIP"
855,"tile_855",4178,0.0394925801819052,0.0767074495619879,4094,97.9894686452848,1510.73185776197,1086.8104548646,1014.62208666869,1088.81044700884,1016.62227165428,"ZIP"
854,"tile_854",4178,0.0435615126854955,0.08618281586674,4086,97.7979894686453,1633.58729391258,1174.22281254968,1096.79883781343,1176.22281092303,1098.79905955841,"ZIP"
811,"tile_811",4178,0.0476304451890857,0.0956250697480546,4078,97.6065102920058,1753.26227162757,1260.18599395661,1177.52514268592,1262.18597011272,1179.52516729082,"ZIP"
384,"tile_384",4178,0.0516993776926759,0.101204627673141,4068,97.3671613212063,1862.86214573082,1360.05490690294,1269.57273154676,1362.05490247149,1271.57275388791,"ZIP"
365,"tile_365",4178,0.056247008137865,0.10909094138047,4057,97.1038774533269,1984.89592289201,1466.83052516577,1371.12770344757,1373.12947076483,1373.12797988094,"ZIP"
878,"tile_878",4178,0.0615126854954524,0.126182680667226,4052,96.9842029679272,2139.68855422779,1538.04051825776,1429.54448823002,1431.54534777189,1431.54472278935,"ZIP"
689,"tile_689",4178,0.0677357587362374,0.134952316964491,4038,96.649114408808,2295.19730418291,1675.76464746006,1552.36643279329,1554.36693089351,1554.36692694356,"ZIP"
392,"tile_392",4178,0.0758736237434179,0.149101977327271,4020,96.2182862613691,2495.70228323641,1847.49387428522,1710.01512026119,1712.01651797735,1712.01599956851,"ZIP"
609,"tile_609",4178,0.0864049784585926,0.172763954709538,3998,95.6917185256103,2752.93400328267,2052.84993131524,1904.63500825809,1906.63599007171,1906.63729710464,"ZIP"
115,"tile_115",4178,0.101244614648157,0.205881648636627,3969,94.997606510292,3100.21361255839,2322.1426454802,2154.92017390119,2156.92200786101,2156.92072978132,"ZIP"
418,"tile_418",4178,0.124700813786501,0.238877663000774,3913,93.6572522738152,3579.15257151177,2786.87647378583,2582.76157109127,2584.76358714032,2584.76200887163,"ZIP"
64,"tile_64",4178,0.170416467209191,0.33716215302706,3828,91.6227860220201,4481.02549821133,3510.79122124339,3237.42621990829,3239.43169527626,3239.42665305714,"ZIP"
28592,"tile_28592",4178,1.51579703207276,4.23108123405534,2195,52.5370990904739,17048.0684728968,13945.7792070534,13213.0094567998,13159.6042146296,13159.6042146295,"Hurdle-NB"
